district,state,state_code,district_code
Adilabad,Telangana,28,01
Agra,Uttar_Pradesh,09,15
Ahmadabad,Gujarat,24,07
Ahmadnagar,Maharashtra,27,26
Aizawl,Mizoram,15,03
Ajmer,Rajasthan,08,21
Akola,Maharashtra,27,05
Alappuzha,Kerala,32,11
Aligarh,Uttar_Pradesh,09,12
Allahabad,Uttar_Pradesh,09,45
Almora,Uttaranchal,05,09
Alwar,Rajasthan,08,06
Ambala,Haryana,06,02
Ambedkar_Nagar,Uttar_Pradesh,09,48
Amravati,Maharashtra,27,07
Amreli,Gujarat,24,13
Amritsar,Punjab,03,02
Anand,Gujarat,24,15
Anantapur,Andhra_Pradesh,28,22
Anantnag,Jammu_and_Kashmir,01,06
Andamans,Andaman_and_Nicobar,35,01
Anugul,Orissa,21,15
Araria,Bihar,10,07
Ariyalur,Tamil_Nadu,33,17
Auraiya,Uttar_Pradesh,09,32
Aurangabad_(Bihar),Bihar,10,34
Aurangabad_(Maharashtra),Maharashtra,27,19
Azamgarh,Uttar_Pradesh,09,61
Badgam,Jammu_and_Kashmir,01,04
Bagalkot,Karnataka,29,02
Bageshwar,Uttaranchal,05,08
Baghpat,Uttar_Pradesh,09,08
Bahraich,Uttar_Pradesh,09,50
Balaghat,Madhya_Pradesh,23,45
Balangir,Orissa,21,24
Baleshwar,Orissa,21,08
Ballia,Uttar_Pradesh,09,63
Balrampur,Uttar_Pradesh,09,52
Banas_Kantha,Gujarat,24,02
Banda,Uttar_Pradesh,09,40
Bangalore,Karnataka,29,20
Bangalore_Rural,Karnataka,29,21
Banka,Bihar,10,23
Bankura,West_Bengal,19,13
Banswara,Rajasthan,08,28
Barabanki,Uttar_Pradesh,09,46
Baramula,Jammu_and_Kashmir,01,02
Baran,Rajasthan,08,31
Barddhaman,West_Bengal,19,09
Bareilly,Uttar_Pradesh,09,20
Bargarh,Orissa,21,01
Barmer,Rajasthan,08,17
Barpeta,Assam,18,05
Barwani,Madhya_Pradesh,23,28
Bastar,Chhattisgarh,22,15
Basti,Uttar_Pradesh,09,55
Bathinda,Punjab,03,14
Baudh,Orissa,21,22
Begusarai,Bihar,10,20
Belgaum,Karnataka,29,01
Bellary,Karnataka,29,12
Betul,Madhya_Pradesh,23,35
Bhadrak,Orissa,21,09
Bhagalpur,Bihar,10,22
Bhandara,Maharashtra,27,10
Bharatpur,Rajasthan,08,07
Bharuch,Gujarat,24,21
Bhavnagar,Gujarat,24,14
Bhilwara,Rajasthan,08,24
Bhind,Madhya_Pradesh,23,03
Bhiwani,Haryana,06,13
Bhojpur,Bihar,10,29
Bhopal,Madhya_Pradesh,23,32
Bid,Maharashtra,27,27
Bidar,Karnataka,29,05
Bijapur,Karnataka,29,03
Bijnor,Uttar_Pradesh,09,03
Bikaner,Rajasthan,08,03
Bilaspur_(Chhattisgarh),Chhattisgarh,22,07
Bilaspur_(Himachal_Pradesh),Himachal_Pradesh,02,08
Birbhum,West_Bengal,19,08
Bishnupur,Manipur,14,04
Bokaro,Jharkhand,20,13
Bongaigaon,Assam,18,04
Budaun,Uttar_Pradesh,09,19
Bulandshahar,Uttar_Pradesh,09,11
Buldana,Maharashtra,27,04
Bundi,Rajasthan,08,23
Buxar,Bihar,10,30
Cachar,Assam,18,21
Chamarajanagar,Karnataka,29,27
Chamba,Himachal_Pradesh,02,01
Chamoli,Uttaranchal,05,02
Champawat,Uttaranchal,05,10
Champhai,Mizoram,15,04
Chandauli,Uttar_Pradesh,09,66
Chandel,Manipur,14,09
Chandigarh,Chandigarh,04,01
Chandrapur,Maharashtra,27,13
Changlang,Arunachal_Pradesh,12,12
Chatra,Jharkhand,20,03
Chennai,Tamil_Nadu,33,02
Chhatarpur,Madhya_Pradesh,23,09
Chhindwara,Madhya_Pradesh,23,43
Chikmagalur,Karnataka,29,17
Chitradurga,Karnataka,29,13
Chitrakoot,Uttar_Pradesh,09,41
Chittaurgarh,Rajasthan,08,29
Chittoor,Andhra_Pradesh,28,23
Churachandpur,Manipur,14,03
Churu,Rajasthan,08,04
Coimbatore,Tamil_Nadu,33,12
Cuddalore,Tamil_Nadu,33,18
Cuddapah,Andhra_Pradesh,28,20
Cuttack,Orissa,21,12
Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,26,01
Dakshin_Dinajpur,West_Bengal,19,05
Dakshina_Kannada,Karnataka,29,24
Daman,Daman_and_Diu,25,02
Damoh,Madhya_Pradesh,23,12
Dantewada,Chhattisgarh,22,16
Darbhanga,Bihar,10,13
Darjiling,West_Bengal,19,01
Darrang,Assam,18,08
Datia,Madhya_Pradesh,23,05
Dausa,Rajasthan,08,11
Davanagere,Karnataka,29,14
Debagarh,Orissa,21,04
Dehradun,Uttaranchal,05,05
Delhi,Delhi,07,00
Deoghar,Jharkhand,20,07
Deoria,Uttar_Pradesh,09,60
Dewas,Madhya_Pradesh,23,23
Dhalai,Tripura,16,03
Dhamtari,Chhattisgarh,22,13
Dhanbad,Jharkhand,20,12
Dhar,Madhya_Pradesh,23,25
Dharmapuri,Tamil_Nadu,33,05
Dharwad,Karnataka,29,09
Dhaulpur,Rajasthan,08,08
Dhemaji,Assam,18,13
Dhenkanal,Orissa,21,14
Dhubri,Assam,18,02
Dhule,Maharashtra,27,02
Dibrugarh,Assam,18,15
Dimapur,Nagaland,13,06
Dindigul,Tamil_Nadu,33,13
Dindori,Madhya_Pradesh,23,41
Diu,Daman_and_Diu,25,01
Doda,Jammu_and_Kashmir,01,09
Dohad,Gujarat,24,18
Dumka,Jharkhand,20,11
Dungarpur,Rajasthan,08,27
Durg,Chhattisgarh,22,10
East_Garo_Hills,Meghalaya,17,02
East_Godavari,Andhra_Pradesh,28,14
East_Kameng,Arunachal_Pradesh,12,03
East_Khasi_Hills,Meghalaya,17,06
East_Midnapore,West_Bengal,19,15
East_Nimar,Madhya_Pradesh,23,29
East_Siang,Arunachal_Pradesh,12,08
East_Sikkim,Sikkim,11,04
Ernakulam,Kerala,32,08
Erode,Tamil_Nadu,33,10
Etah,Uttar_Pradesh,09,17
Etawah,Uttar_Pradesh,09,31
Faizabad,Uttar_Pradesh,09,47
Faridabad,Haryana,06,19
Faridkot,Punjab,03,13
Farrukhabad,Uttar_Pradesh,09,29
Fatehabad,Haryana,06,10
Fatehgarh_Sahib,Punjab,03,08
Fatehpur,Uttar_Pradesh,09,42
Firozabad,Uttar_Pradesh,09,16
Firozpur,Punjab,03,11
Gadag,Karnataka,29,08
Gadchiroli,Maharashtra,27,12
Gajapati,Orissa,21,20
Gandhinagar,Gujarat,24,06
Ganganagar,Rajasthan,08,01
Ganjam,Orissa,21,19
Garhwa,Jharkhand,20,01
Garhwal,Uttaranchal,05,06
Gautam_Buddha_Nagar,Uttar_Pradesh,09,10
Gaya,Bihar,10,35
Ghaziabad,Uttar_Pradesh,09,09
Ghazipur,Uttar_Pradesh,09,65
Giridih,Jharkhand,20,06
Goalpara,Assam,18,03
Godda,Jharkhand,20,08
Golaghat,Assam,18,18
Gonda,Uttar_Pradesh,09,53
Gondiya,Maharashtra,27,11
Gopalganj,Bihar,10,15
Gorakhpur,Uttar_Pradesh,09,58
Greater_Bombay,Maharashtra,27,23,27,22
Gulbarga,Karnataka,29,04
Gumla,Jharkhand,20,16
Guna,Madhya_Pradesh,23,07
Guntur,Andhra_Pradesh,28,17
Gurdaspur,Punjab,03,01
Gurgaon,Haryana,06,18
Gwalior,Madhya_Pradesh,23,04
Hailakandi,Assam,18,23
Hamirpur_(Himachal_Pradesh),Himachal_Pradesh,02,06
Hamirpur_(Uttar_Pradesh),Uttar_Pradesh,09,38
Hanumangarh,Rajasthan,08,02
Haora,West_Bengal,19,16
Harda,Madhya_Pradesh,23,36
Hardoi,Uttar_Pradesh,09,25
Hardwar,Uttaranchal,05,13
Hassan,Karnataka,29,23
Hathras,Uttar_Pradesh,09,13
Haveri,Karnataka,29,11
Hazaribagh,Jharkhand,20,04
Hingoli,Maharashtra,27,16
Hisar,Haryana,06,12
Hoshangabad,Madhya_Pradesh,23,37
Hoshiarpur,Punjab,03,05
Hugli,West_Bengal,19,12
Hyderabad,Telangana,28,05
Idukki,Kerala,32,09
Imphal_East,Manipur,14,07
Imphal_West,Manipur,14,06
Indore,Madhya_Pradesh,23,26
Jabalpur,Madhya_Pradesh,23,39
Jagatsinghapur,Orissa,21,11
Jaintia_Hills,Meghalaya,17,07
Jaipur,Rajasthan,08,12
Jaisalmer,Rajasthan,08,16
Jajapur,Orissa,21,13
Jalandhar,Punjab,03,04
Jalaun,Uttar_Pradesh,09,35
Jalgaon,Maharashtra,27,03
Jalna,Maharashtra,27,18
Jalor,Rajasthan,08,18
Jalpaiguri,West_Bengal,19,02
Jammu,Jammu_and_Kashmir,01,13
Jamnagar,Gujarat,24,10
Jamui,Bihar,10,37
Janjgir_-_Champa,Chhattisgarh,22,06
Jashpur,Chhattisgarh,22,03
Jaunpur,Uttar_Pradesh,09,64
Jehanabad,Bihar,10,33
Jhabua,Madhya_Pradesh,23,24
Jhajjar,Haryana,06,15
Jhalawar,Rajasthan,08,32
Jhansi,Uttar_Pradesh,09,36
Jharsuguda,Orissa,21,02
Jhunjhunun,Rajasthan,08,05
Jind,Haryana,06,09
Jodhpur,Rajasthan,08,15
Jorhat,Assam,18,17
Junagadh,Gujarat,24,12
Jyotiba_Phule_Nagar,Uttar_Pradesh,09,06
Kachchh,Gujarat,24,01
Kaimur_Bhabua,Bihar,10,31
Kaithal,Haryana,06,05
Kalahandi,Orissa,21,26
Kamrup,Assam,18,06
Kancheepuram,Tamil_Nadu,33,03
Kandhamal,Orissa,21,21
Kangra,Himachal_Pradesh,02,02
Kanker,Chhattisgarh,22,14
Kannauj,Uttar_Pradesh,09,30
Kanniyakumari,Tamil_Nadu,33,30
Kannur,Kerala,32,02
Kanpur_Dehat,Uttar_Pradesh,09,33
Kanpur_Nagar,Uttar_Pradesh,09,34
Kapurthala,Punjab,03,03
Karaikal,Pondicherry,34,04
Karauli,Rajasthan,08,09
Karbi_Anglong,Assam,18,19
Kargil,Jammu_and_Kashmir,01,08
Karimganj,Assam,18,22
Karimnagar,Telangana,28,03
Karnal,Haryana,06,06
Karur,Tamil_Nadu,33,14
Kasaragod,Kerala,32,01
Kathua,Jammu_and_Kashmir,01,14
Katihar,Bihar,10,10
Katni,Madhya_Pradesh,23,38
Kaushambi,Uttar_Pradesh,09,44
Kawardha,Chhattisgarh,22,08
Kendrapara,Orissa,21,10
Kendujhar,Orissa,21,06
Khagaria,Bihar,10,21
Khammam,Telangana,28,10
Kheda,Gujarat,24,16
Khordha,Orissa,21,17
Kinnaur,Himachal_Pradesh,02,12
Kishanganj,Bihar,10,08
Koch_Bihar,West_Bengal,19,03
Kodagu,Karnataka,29,25
Kodarma,Jharkhand,20,05
Kohima,Nagaland,13,07
Kokrajhar,Assam,18,01
Kolar,Karnataka,29,19
Kolasib,Mizoram,15,02
Kolhapur,Maharashtra,27,34
Kolkata,West_Bengal,19,17
Kollam,Kerala,32,13
Koppal,Karnataka,29,07
Koraput,Orissa,21,29
Korba,Chhattisgarh,22,05
Koriya,Chhattisgarh,22,01
Kota,Rajasthan,08,30
Kottayam,Kerala,32,10
Kozhikode,Kerala,32,04
Krishna,Andhra_Pradesh,28,16
Kullu,Himachal_Pradesh,02,04
Kupwara,Jammu_and_Kashmir,01,01
Kurnool,Andhra_Pradesh,28,21
Kurukshetra,Haryana,06,04
Kushinagar,Uttar_Pradesh,09,59
Lahul_and_Spiti,Himachal_Pradesh,02,03
Lakhimpur,Assam,18,12
Lakhimpur_Kheri,Uttar_Pradesh,09,23
Lakhisarai,Bihar,10,25
Lakshadweep,Lakshadweep,31,01
Lalitpur,Uttar_Pradesh,09,37
Latur,Maharashtra,27,28
Lawngtlai,Mizoram,15,07
Leh_Ladakh,Jammu_and_Kashmir,01,07
Lohardaga,Jharkhand,20,15
Lohit,Arunachal_Pradesh,12,11
Lower_Dibang_Valley,Arunachal_Pradesh,12,10
Lower_Subansiri,Arunachal_Pradesh,12,05
Lucknow,Uttar_Pradesh,09,27
Ludhiana,Punjab,03,09
Lunglei,Mizoram,15,06
Madhepura,Bihar,10,11
Madhubani,Bihar,10,05
Madurai,Tamil_Nadu,33,24
Maharajganj,Uttar_Pradesh,09,57
Mahasamund,Chhattisgarh,22,12
Mahbubnagar,Telangana,28,07
Mahe,Pondicherry,34,03
Mahendragarh,Haryana,06,16
Mahesana,Gujarat,24,04
Mahoba,Uttar_Pradesh,09,39
Mainpuri,Uttar_Pradesh,09,18
Malappuram,Kerala,32,05
Maldah,West_Bengal,19,06
Malkangiri,Orissa,21,30
Mamit,Mizoram,15,01
Mandi,Himachal_Pradesh,02,05
Mandla,Madhya_Pradesh,23,42
Mandsaur,Madhya_Pradesh,23,19
Mandya,Karnataka,29,22
Mansa,Punjab,03,15
Marigaon,Assam,18,09
Mathura,Uttar_Pradesh,09,14
Mau,Uttar_Pradesh,09,62
Mayurbhanj,Orissa,21,07
Medak,Telangana,28,04
Meerut,Uttar_Pradesh,09,07
Mirzapur,Uttar_Pradesh,09,69
Moga,Punjab,03,10
Mokokchung,Nagaland,13,03
Mon,Nagaland,13,01
Moradabad,Uttar_Pradesh,09,04
Morena,Madhya_Pradesh,23,02
Muktsar,Punjab,03,12
Munger,Bihar,10,24
Murshidabad,West_Bengal,19,07
Muzaffarnagar,Uttar_Pradesh,09,02
Muzaffarpur,Bihar,10,14
Mysore,Karnataka,29,26
Nabarangapur,Orissa,21,28
Nadia,West_Bengal,19,10
Nagaon,Assam,18,10
Nagapattinam,Tamil_Nadu,33,19
Nagaur,Rajasthan,08,14
Nagpur,Maharashtra,27,09
Nainital,Uttaranchal,05,11
Nalanda,Bihar,10,27
Nalbari,Assam,18,07
Nalgonda,Telangana,28,08
Namakkal,Tamil_Nadu,33,09
Nanded,Maharashtra,27,15
Nandurbar,Maharashtra,27,01
Narmada,Gujarat,24,20
Narsimhapur,Madhya_Pradesh,23,40
Nashik,Maharashtra,27,20
Navsari,Gujarat,24,24
Nawada,Bihar,10,36
Nawanshahr,Punjab,03,06
Nayagarh,Orissa,21,16
Neemuch,Madhya_Pradesh,23,18
Nellore,Andhra_Pradesh,28,19
Nicobars,Andaman_and_Nicobar,35,02
Nizamabad,Telangana,28,02
North_Cachar_Hills,Assam,18,20
North_Goa,Goa,30,01
North_Sikkim,Sikkim,11,01
North_Tripura,Tripura,16,04
North_Twenty_Four_Parganas,West_Bengal,19,11
Nuapada,Orissa,21,25
Osmanabad,Maharashtra,27,29
Pakaur,Jharkhand,20,10
Palakkad,Kerala,32,06
Palamu,Jharkhand,20,02
Pali,Rajasthan,08,20
Panch_Mahals,Gujarat,24,17
Panchkula,Haryana,06,01
Panipat,Haryana,06,07
Panna,Madhya_Pradesh,23,10
Papum_Pare,Arunachal_Pradesh,12,04
Parbhani,Maharashtra,27,17
Pashchim_Champaran,Bihar,10,01
Pashchimi_Singhbhum,Jharkhand,20,17
Patan,Gujarat,24,03
Pathanamthitta,Kerala,32,12
Patiala,Punjab,03,17
Patna,Bihar,10,28
Perambalur,Tamil_Nadu,33,16
Phek,Nagaland,13,08
Pilibhit,Uttar_Pradesh,09,21
Pithoragarh,Uttaranchal,05,07
Pondicherry,Pondicherry,34,02
Porbandar,Gujarat,24,11
Prakasam,Andhra_Pradesh,28,18
Pratapgarh,Uttar_Pradesh,09,43
Pudukkottai,Tamil_Nadu,33,22
Pulwama,Jammu_and_Kashmir,01,05
Punch,Jammu_and_Kashmir,01,11
Pune,Maharashtra,27,25
Purba_Champaran,Bihar,10,02
Purbi_Singhbhum,Jharkhand,20,18
Puri,Orissa,21,18
Purnia,Bihar,10,09
Puruliya,West_Bengal,19,14
Rae_Bareli,Uttar_Pradesh,09,28
Raichur,Karnataka,29,06
Raigarh_(Chhattisgarh),Chhattisgarh,22,04
Raigarh_(Maharashtra),Maharashtra,27,24
Raipur,Chhattisgarh,22,11
Raisen,Madhya_Pradesh,23,34
Rajauri,Jammu_and_Kashmir,01,12
Rajgarh,Madhya_Pradesh,23,30
Rajkot,Gujarat,24,09
Rajnandgaon,Chhattisgarh,22,09
Rajsamand,Rajasthan,08,25
Ramanathapuram,Tamil_Nadu,33,27
Rampur,Uttar_Pradesh,09,05
Ranchi,Jharkhand,20,14
Rangareddi,Telangana,28,06
Ratlam,Madhya_Pradesh,23,20
Ratnagiri,Maharashtra,27,32
Rayagada,Orissa,21,27
Rewa,Madhya_Pradesh,23,14
Rewari,Haryana,06,17
Ri-Bhoi,Meghalaya,17,05
Rohtak,Haryana,06,14
Rohtas,Bihar,10,32
Rudraprayag,Uttaranchal,05,03
Rupnagar,Punjab,03,07
Sabar_Kantha,Gujarat,24,05
Sagar,Madhya_Pradesh,23,11
Saharanpur,Uttar_Pradesh,09,01
Saharsa,Bihar,10,12
Sahibganj,Jharkhand,20,09
Saiha,Mizoram,15,08
Salem,Tamil_Nadu,33,08
Samastipur,Bihar,10,19
Sambalpur,Orissa,21,03
Sangli,Maharashtra,27,35
Sangrur,Punjab,03,16
Sant_Kabir_Nagar,Uttar_Pradesh,09,56
Sant_Ravidas_Nagar_Bhadohi,Uttar_Pradesh,09,68
Saran,Bihar,10,17
Satara,Maharashtra,27,31
Satna,Madhya_Pradesh,23,13
Sawai_Madhopur,Rajasthan,08,10
Sehore,Madhya_Pradesh,23,33
Senapati,Manipur,14,01
Seoni,Madhya_Pradesh,23,44
Serchhip,Mizoram,15,05
Shahdol,Madhya_Pradesh,23,16
Shahjahanpur,Uttar_Pradesh,09,22
Shajapur,Madhya_Pradesh,23,22
Sheikhpura,Bihar,10,26
Sheohar,Bihar,10,03
Sheopur,Madhya_Pradesh,23,01
Shimla,Himachal_Pradesh,02,11
Shimoga,Karnataka,29,15
Shivpuri,Madhya_Pradesh,23,06
Shrawasti,Uttar_Pradesh,09,51
Sibsagar,Assam,18,16
Siddharthnagar,Uttar_Pradesh,09,54
Sidhi,Madhya_Pradesh,23,17
Sikar,Rajasthan,08,13
Sindhudurg,Maharashtra,27,33
Sirmaur,Himachal_Pradesh,02,10
Sirohi,Rajasthan,08,19
Sirsa,Haryana,06,11
Sitamarhi,Bihar,10,04
Sitapur,Uttar_Pradesh,09,24
Sivaganga,Tamil_Nadu,33,23
Siwan,Bihar,10,16
Solan,Himachal_Pradesh,02,09
Solapur,Maharashtra,27,30
Sonapur,Orissa,21,23
Sonbhadra,Uttar_Pradesh,09,70
Sonipat,Haryana,06,08
Sonitpur,Assam,18,11
South_Garo_Hills,Meghalaya,17,03
South_Goa,Goa,30,02
South_Sikkim,Sikkim,11,03
South_Tripura,Tripura,16,02
South_Twenty_Four_Parganas,West_Bengal,19,18
Srikakulam,Andhra_Pradesh,28,11
Srinagar,Jammu_and_Kashmir,01,03
Sultanpur,Uttar_Pradesh,09,49
Sundargarh,Orissa,21,05
Supaul,Bihar,10,06
Surat,Gujarat,24,22
Surendranagar,Gujarat,24,08
Surguja,Chhattisgarh,22,02
Tamenglong,Manipur,14,02
Tawang,Arunachal_Pradesh,12,01
Tehri_Garhwal,Uttaranchal,05,04
Thane,Maharashtra,27,21
Thanjavur,Tamil_Nadu,33,21
The_Dangs,Gujarat,24,23
The_Nilgiris,Tamil_Nadu,33,11
Theni,Tamil_Nadu,33,25
Thiruvallur,Tamil_Nadu,33,01
Thiruvananthapuram,Kerala,32,14
Thiruvarur,Tamil_Nadu,33,20
Thoothukkudi,Tamil_Nadu,33,28
Thoubal,Manipur,14,05
Thrissur,Kerala,32,07
Tikamgarh,Madhya_Pradesh,23,08
Tinsukia,Assam,18,14
Tirap,Arunachal_Pradesh,12,13
Tiruchirappalli,Tamil_Nadu,33,15
Tirunelveli,Tamil_Nadu,33,29
Tiruvannamalai,Tamil_Nadu,33,06
Tonk,Rajasthan,08,22
Tuensang,Nagaland,13,02
Tumkur,Karnataka,29,18
Udaipur,Rajasthan,08,26
Udham_Singh_Nagar,Uttaranchal,05,12
Udhampur,Jammu_and_Kashmir,01,10
Udupi,Karnataka,29,16
Ujjain,Madhya_Pradesh,23,21
Ukhrul,Manipur,14,08
Umaria,Madhya_Pradesh,23,15
Una,Himachal_Pradesh,02,07
Unnao,Uttar_Pradesh,09,26
Upper_Dibang_Valley,Arunachal_Pradesh,12,10
Upper_Siang,Arunachal_Pradesh,12,09
Upper_Subansiri,Arunachal_Pradesh,12,06
Uttar_Dinajpur,West_Bengal,19,04
Uttara_Kannada,Karnataka,29,10
Uttarkashi,Uttaranchal,05,01
Vadodara,Gujarat,24,19
Vaishali,Bihar,10,18
Valsad,Gujarat,24,25
Varanasi,Uttar_Pradesh,09,67
Vellore,Tamil_Nadu,33,04
Vidisha,Madhya_Pradesh,23,31
Viluppuram,Tamil_Nadu,33,07
Virudhunagar,Tamil_Nadu,33,26
Visakhapatnam,Andhra_Pradesh,28,13
Vizianagaram,Andhra_Pradesh,28,12
Warangal,Telangana,28,09
Wardha,Maharashtra,27,08
Washim,Maharashtra,27,06
Wayanad,Kerala,32,03
West_Garo_Hills,Meghalaya,17,01
West_Godavari,Andhra_Pradesh,28,15
West_Kameng,Arunachal_Pradesh,12,02
West_Khasi_Hills,Meghalaya,17,04
West_Midnapore,West_Bengal,19,15
West_Nimar,Madhya_Pradesh,23,27
West_Siang,Arunachal_Pradesh,12,07
West_Sikkim,Sikkim,11,02
West_Tripura,Tripura,16,01
Wokha,Nagaland,13,05
Yamunanagar,Haryana,06,03
Yanam,Pondicherry,34,01
Yavatmal,Maharashtra,27,14
Zunheboto,Nagaland,13,04
Anuppur,Madhya_Pradesh,N/A
Ashoknagar,Madhya_Pradesh,N/A
Burhanpur,Madhya_Pradesh,N/A
Jamtara,Jharkhand,N/A
Kurung_Kumey,Arunachal_Pradesh,N/A
Latehar,Jharkhand,N/A
Simdega,Jharkhand,N/A
Saraikela_Kharsawan,Jharkhand,N/A
